../0007_hpc_fragment_children_2/f_ac_ligand_1063_out.pdbqt VINA RESULT:      -8.6      0.000      0.000
../0007_hpc_fragment_children_2/f_ac_ligand_0912_out.pdbqt VINA RESULT:      -8.6      0.000      0.000
../0007_hpc_fragment_children_2/f_ac_ligand_0381_out.pdbqt VINA RESULT:      -8.6      0.000      0.000
../0007_hpc_fragment_children_2/f_ac_ligand_0119_out.pdbqt VINA RESULT:      -8.6      0.000      0.000
../0007_hpc_fragment_children_2/f_ab_ligand_1808_out.pdbqt VINA RESULT:      -8.6      0.000      0.000
../0007_hpc_fragment_children_2/f_ab_ligand_0644_out.pdbqt VINA RESULT:      -8.6      0.000      0.000
../0007_hpc_fragment_children_2/f_ab_ligand_0078_out.pdbqt VINA RESULT:      -8.6      0.000      0.000
../0007_hpc_fragment_children_2/f_aa_ligand_0796_out.pdbqt VINA RESULT:      -8.6      0.000      0.000
../0007_hpc_fragment_children_2/f_aa_ligand_0434_out.pdbqt VINA RESULT:      -8.6      0.000      0.000
../0006_hpc_fragment_children_1/f_az_ligand_034_out.pdbqt VINA RESULT:      -8.6      0.000      0.000
../0006_hpc_fragment_children_1/f_ay_ligand_277_out.pdbqt VINA RESULT:      -8.6      0.000      0.000
../0006_hpc_fragment_children_1/f_ay_ligand_086_out.pdbqt VINA RESULT:      -8.6      0.000      0.000
../0006_hpc_fragment_children_1/f_aj_ligand_308_out.pdbqt VINA RESULT:      -8.6      0.000      0.000
../0006_hpc_fragment_children_1/f_ai_ligand_105_out.pdbqt VINA RESULT:      -8.6      0.000      0.000
../0008_hpc_fragment_children_3/f_ay_ligand_1986_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0008_hpc_fragment_children_3/f_ax_ligand_0994_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0008_hpc_fragment_children_3/f_ax_ligand_0424_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0008_hpc_fragment_children_3/f_aw_ligand_0778_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0008_hpc_fragment_children_3/f_au_ligand_0955_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0008_hpc_fragment_children_3/f_au_ligand_0365_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0008_hpc_fragment_children_3/f_aq_ligand_1311_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0008_hpc_fragment_children_3/f_ap_ligand_0078_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0008_hpc_fragment_children_3/f_ao_ligand_0990_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0008_hpc_fragment_children_3/f_ao_ligand_0807_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0008_hpc_fragment_children_3/f_am_ligand_1724_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0008_hpc_fragment_children_3/f_am_ligand_1251_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0008_hpc_fragment_children_3/f_ak_ligand_1032_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0008_hpc_fragment_children_3/f_ai_ligand_0308_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0008_hpc_fragment_children_3/f_ah_ligand_1082_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0008_hpc_fragment_children_3/f_af_ligand_1804_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0008_hpc_fragment_children_3/f_ae_ligand_0231_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0008_hpc_fragment_children_3/f_ae_ligand_0223_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0008_hpc_fragment_children_3/f_ae_ligand_0086_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0008_hpc_fragment_children_3/f_ac_ligand_1599_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0008_hpc_fragment_children_3/f_ac_ligand_1219_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0008_hpc_fragment_children_3/f_ab_ligand_0363_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0007_hpc_fragment_children_2/f_ay_ligand_1323_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0007_hpc_fragment_children_2/f_av_ligand_1034_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0007_hpc_fragment_children_2/f_au_ligand_0484_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0007_hpc_fragment_children_2/f_at_ligand_1288_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0007_hpc_fragment_children_2/f_as_ligand_1939_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0007_hpc_fragment_children_2/f_aq_ligand_1754_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0007_hpc_fragment_children_2/f_aq_ligand_0993_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0007_hpc_fragment_children_2/f_aq_ligand_0686_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0007_hpc_fragment_children_2/f_ap_ligand_1353_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0007_hpc_fragment_children_2/f_an_ligand_1632_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0007_hpc_fragment_children_2/f_an_ligand_0719_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0007_hpc_fragment_children_2/f_an_ligand_0671_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0007_hpc_fragment_children_2/f_am_ligand_0594_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0007_hpc_fragment_children_2/f_am_ligand_0459_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0007_hpc_fragment_children_2/f_al_ligand_1074_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
../0007_hpc_fragment_children_2/f_ak_ligand_0595_out.pdbqt VINA RESULT:      -8.7      0.000      0.000
