TSA_ligand_001_out.pdbqt -6.8
TSA_ligand_002_out.pdbqt -7.5
TSA_ligand_003_out.pdbqt -7.6
TSA_ligand_004_out.pdbqt -7.6
TSA_ligand_005_out.pdbqt -8.0
TSA_ligand_006_out.pdbqt -8.0
TSA_ligand_007_out.pdbqt -7.0
TSA_ligand_008_out.pdbqt -7.4
TSA_ligand_009_out.pdbqt -6.3
TSA_ligand_010_out.pdbqt -7.0
TSA_ligand_011_out.pdbqt -7.5
TSA_ligand_012_out.pdbqt -6.4
TSA_ligand_013_out.pdbqt -6.4
TSA_ligand_014_out.pdbqt -7.5
TSA_ligand_015_out.pdbqt -7.4
TSA_ligand_016_out.pdbqt -6.9
TSA_ligand_017_out.pdbqt -8.0
TSA_ligand_018_out.pdbqt -6.7
TSA_ligand_019_out.pdbqt -6.2
TSA_ligand_020_out.pdbqt -7.6
TSA_ligand_021_out.pdbqt -8.0
TSA_ligand_022_out.pdbqt -8.8
TSA_ligand_023_out.pdbqt -7.2
TSA_ligand_024_out.pdbqt -6.7
TSA_ligand_025_out.pdbqt -6.5
TSA_ligand_026_out.pdbqt -7.0
TSA_ligand_027_out.pdbqt -7.1
TSA_ligand_028_out.pdbqt -6.0
TSA_ligand_029_out.pdbqt -6.4
TSA_ligand_030_out.pdbqt -7.9
TSA_ligand_031_out.pdbqt -6.8
TSA_ligand_032_out.pdbqt -7.8
TSA_ligand_033_out.pdbqt -6.0
TSA_ligand_034_out.pdbqt -7.1
TSA_ligand_035_out.pdbqt -7.5
TSA_ligand_036_out.pdbqt -6.2
TSA_ligand_037_out.pdbqt -7.3
TSA_ligand_038_out.pdbqt -7.4
TSA_ligand_039_out.pdbqt -6.2
TSA_ligand_040_out.pdbqt -5.7
TSA_ligand_041_out.pdbqt -6.3
TSA_ligand_042_out.pdbqt -6.4
TSA_ligand_043_out.pdbqt -6.9
TSA_ligand_044_out.pdbqt -6.2
TSA_ligand_045_out.pdbqt -5.6
TSA_ligand_046_out.pdbqt -8.1
TSA_ligand_047_out.pdbqt -7.0
TSA_ligand_048_out.pdbqt -5.7
TSA_ligand_049_out.pdbqt -6.8
TSA_ligand_050_out.pdbqt -7.7
TSA_ligand_051_out.pdbqt -6.4
TSA_ligand_052_out.pdbqt -6.3
TSA_ligand_053_out.pdbqt -6.4
TSA_ligand_054_out.pdbqt -6.9
TSA_ligand_055_out.pdbqt -6.5
TSA_ligand_056_out.pdbqt -7.9
TSA_ligand_057_out.pdbqt -6.4
TSA_ligand_058_out.pdbqt -6.8
TSA_ligand_059_out.pdbqt -6.4
TSA_ligand_060_out.pdbqt -6.0
TSA_ligand_061_out.pdbqt -8.0
TSA_ligand_062_out.pdbqt -8.1
TSA_ligand_063_out.pdbqt -8.3
TSA_ligand_064_out.pdbqt -6.2
TSA_ligand_065_out.pdbqt -7.0
TSA_ligand_066_out.pdbqt -7.3
TSA_ligand_067_out.pdbqt -6.1
TSA_ligand_068_out.pdbqt -7.2
TSA_ligand_069_out.pdbqt -8.3
TSA_ligand_070_out.pdbqt -6.4
TSA_ligand_071_out.pdbqt -6.4
TSA_ligand_072_out.pdbqt -5.1
TSA_ligand_073_out.pdbqt -6.7
TSA_ligand_074_out.pdbqt -6.1
TSA_ligand_075_out.pdbqt -7.0
TSA_ligand_076_out.pdbqt -7.3
TSA_ligand_077_out.pdbqt -6.9
TSA_ligand_078_out.pdbqt -7.7
TSA_ligand_079_out.pdbqt -7.4
TSA_ligand_080_out.pdbqt -6.6
TSA_ligand_081_out.pdbqt -7.4
TSA_ligand_082_out.pdbqt -7.1
TSA_ligand_083_out.pdbqt -6.1
TSA_ligand_084_out.pdbqt -7.7
TSA_ligand_085_out.pdbqt -8.2
TSA_ligand_086_out.pdbqt -7.8
TSA_ligand_087_out.pdbqt -7.2
TSA_ligand_088_out.pdbqt -6.7
TSA_ligand_089_out.pdbqt -7.1
TSA_ligand_090_out.pdbqt -7.1
TSA_ligand_091_out.pdbqt -6.6
TSA_ligand_092_out.pdbqt -7.3
TSA_ligand_093_out.pdbqt -7.7
TSA_ligand_094_out.pdbqt -8.1
TSA_ligand_095_out.pdbqt -6.1
TSA_ligand_096_out.pdbqt -6.5
TSA_ligand_097_out.pdbqt -7.5
TSA_ligand_098_out.pdbqt -7.6
TSA_ligand_099_out.pdbqt -6.7
TSA_ligand_100_out.pdbqt -7.9
