swissadme_ligand_01_out.pdbqt -6.9
swissadme_ligand_02_out.pdbqt -7.1
swissadme_ligand_03_out.pdbqt -8.2
swissadme_ligand_04_out.pdbqt -6.9
swissadme_ligand_05_out.pdbqt -6.3
swissadme_ligand_06_out.pdbqt -7.9
swissadme_ligand_07_out.pdbqt -6.5
swissadme_ligand_08_out.pdbqt -7.5
swissadme_ligand_09_out.pdbqt -7.2
swissadme_ligand_10_out.pdbqt -6.2
swissadme_ligand_11_out.pdbqt -6.5
swissadme_ligand_12_out.pdbqt -6.4
swissadme_ligand_13_out.pdbqt -7.4
swissadme_ligand_14_out.pdbqt -6.6
swissadme_ligand_15_out.pdbqt -9.2
swissadme_ligand_16_out.pdbqt -8.1
swissadme_ligand_17_out.pdbqt -6.7
swissadme_ligand_18_out.pdbqt -9.1
swissadme_ligand_19_out.pdbqt -7.5
swissadme_ligand_20_out.pdbqt -7.0
swissadme_ligand_21_out.pdbqt -6.2
swissadme_ligand_22_out.pdbqt -7.5
swissadme_ligand_23_out.pdbqt -7.1
swissadme_ligand_24_out.pdbqt -7.5
swissadme_ligand_25_out.pdbqt -7.8
swissadme_ligand_26_out.pdbqt -8.1
swissadme_ligand_27_out.pdbqt -7.1
swissadme_ligand_28_out.pdbqt -7.2
swissadme_ligand_29_out.pdbqt -6.3
swissadme_ligand_30_out.pdbqt -6.0
swissadme_ligand_31_out.pdbqt -7.0
swissadme_ligand_32_out.pdbqt -6.1
swissadme_ligand_33_out.pdbqt -7.0
swissadme_ligand_34_out.pdbqt -6.4
swissadme_ligand_35_out.pdbqt -6.7
swissadme_ligand_36_out.pdbqt -6.4
swissadme_ligand_37_out.pdbqt -6.6
swissadme_ligand_38_out.pdbqt -6.5
swissadme_ligand_39_out.pdbqt -7.0
swissadme_ligand_40_out.pdbqt -6.9
swissadme_ligand_41_out.pdbqt -6.2
swissadme_ligand_42_out.pdbqt -5.6
swissadme_ligand_43_out.pdbqt -5.8
swissadme_ligand_44_out.pdbqt -6.0
swissadme_ligand_45_out.pdbqt -6.1
swissadme_ligand_46_out.pdbqt -6.3
swissadme_ligand_47_out.pdbqt -6.3
swissadme_ligand_48_out.pdbqt -6.7
swissadme_ligand_49_out.pdbqt -6.1
swissadme_ligand_50_out.pdbqt -5.9
swissadme_ligand_51_out.pdbqt -6.5
swissadme_ligand_52_out.pdbqt -6.5
