../0010_JAR-KUA-672_dock/JAR-KUA-672_ligand_01_out.pdbqt:REMARK -6.8
../0010_JAR-KUA-672_dock/JAR-KUA-672_ligand_02_out.pdbqt:REMARK -5.7
../0010_JAR-KUA-672_dock/JAR-KUA-672_ligand_03_out.pdbqt:REMARK -7.1
../0010_JAR-KUA-672_dock/JAR-KUA-672_ligand_04_out.pdbqt:REMARK -6.9
../0010_JAR-KUA-672_dock/JAR-KUA-672_ligand_05_out.pdbqt:REMARK -6.4
../0010_JAR-KUA-672_dock/JAR-KUA-672_ligand_06_out.pdbqt:REMARK -7.5
../0010_JAR-KUA-672_dock/JAR-KUA-672_ligand_07_out.pdbqt:REMARK -7.1
../0010_JAR-KUA-672_dock/JAR-KUA-672_ligand_08_out.pdbqt:REMARK -6.8
../0010_JAR-KUA-672_dock/JAR-KUA-672_ligand_09_out.pdbqt:REMARK -6.4
../0010_JAR-KUA-672_dock/JAR-KUA-672_ligand_10_out.pdbqt:REMARK -6.4
../0010_JAR-KUA-672_dock/JAR-KUA-672_ligand_11_out.pdbqt:REMARK -6.8
../0010_JAR-KUA-672_dock/JAR-KUA-672_ligand_12_out.pdbqt:REMARK -6.3
../0010_JAR-KUA-672_dock/JAR-KUA-672_ligand_13_out.pdbqt:REMARK -6.5
../0010_JAR-KUA-672_dock/JAR-KUA-672_ligand_14_out.pdbqt:REMARK -5.9
